surfaced_at,identifier,arxiv,doi,title,url,decision,evidence_group,placement,bounded_claim_or_reason
2026-07-31,arXiv:2607.28587,2607.28587,,PAIChecker: Uncovering and Checking PR-Issue Misalignment in SWE-Bench-Like Benchmarks,https://arxiv.org/abs/2607.28587,admitted,strong,Chapter 3; checklist-agentic-benchmarks-for-validity,Measures PR-issue alignment defects and detector accuracy on named benchmark collections.
2026-07-31,arXiv:2607.27409,2607.27409,,SWE-NFI: Studying and Benchmarking Coding Agents for Non-Functional Improvements,https://arxiv.org/abs/2607.27409,deferred,,update queue,New task family is relevant to future workload-validity coverage but does not correct this edition.
2026-07-31,arXiv:2607.26937,2607.26937,,VITAL-RAG: Invariance Race for Context Allocation in Coding Agents,https://arxiv.org/abs/2607.26937,deferred,,update queue,Context-allocation method requires fuller comparison with the existing context claims.
2026-08-01,arXiv:2607.27294,2607.27294,,AgentS4D: Benchmarking Runtime Risks across the Execution Lifecycle of LLM-Based Workspace Agents,https://arxiv.org/abs/2607.27294,admitted,strong,Chapter 7; topology-as-security-decision,Separates task completion from runtime safety across 20 harness-model combinations.
2026-08-01,arXiv:2607.28591,2607.28591,,Change2Task: From Repository Changes to Executable Coding Agent Tasks and Environments,https://arxiv.org/abs/2607.28591,deferred,,update queue,Task-construction method is adjacent to local benchmark curation but not needed for a frozen claim.
2026-08-01,arXiv:2607.27250,2607.27250,,Do Context Files Help Coding Agents? A Two-Agent Ablation Study on Real Repositories,https://arxiv.org/abs/2607.27250,admitted,null_or_conflicting,Chapter 13; measure-context-files-and-maintain-them-like-config,Controlled null result and equivalence bounds directly qualify the standing-context practice.
2026-08-01,arXiv:2607.27249,2607.27249,,OwlPath: Lossless Knowledge Compression for LLM Bug Repair,https://arxiv.org/abs/2607.27249,deferred,,update queue,Compression method is adjacent to context budgeting but does not alter a selected claim.
2026-08-02,arXiv:2607.28271,2607.28271,,Agentic Method for Deterministic Validation of Legacy Code Migration,https://arxiv.org/abs/2607.28271,deferred,,update queue,Migration validation is a specialized application beyond the chapter's general execution gate.
2026-08-02,arXiv:2607.28229,2607.28229,,EMBL AI Librarian: Life-Sciences Knowledge Layer for AI Agents,https://arxiv.org/abs/2607.28229,deferred,,update queue,Domain knowledge-layer report does not add repository-code evidence.
2026-08-02,arXiv:2607.26805,2607.26805,,MRCoder: An Efficient Context Selecting Approach for Repository-Level Code Generation,https://arxiv.org/abs/2607.26805,deferred,,update queue,Method comparison is relevant but not required after the retrieval chapter's bounded update.
2026-08-02,arXiv:2607.28609,2607.28609,,OSReward: Instituting Standardized Evaluation for Cross-Platform Computer-Use Reward Models,https://arxiv.org/abs/2607.28609,deferred,,update queue,Reward-model benchmark is outside coding-agent grading scope.
2026-08-04,arXiv:2608.00718,2608.00718,,Adversarial Attacks in Multi-Agent LLM Pipelines,https://arxiv.org/abs/2608.00718,deferred,,update queue,Security result is relevant to topology but requires a dedicated threat-model comparison.
2026-08-04,arXiv:2608.00101,2608.00101,,Agentic Coding in the Wild: Characterizing GitHub Copilot Traces at Production Scale,https://arxiv.org/abs/2608.00101,admitted,directional,Chapter 18; audit-the-allocation-layer,Strong workload characterization; directional support for measuring turn boundaries and idle capacity.
2026-08-04,arXiv:2608.01507,2608.01507,,Deep Agentic Search for Repository-Level Code Question Answering: An Empirical Study,https://arxiv.org/abs/2608.01507,admitted,strong,Chapter 17; match-topology-to-task-shape,Controlled SWE-QA comparison localizes silent failure at the planner-subagent handoff.
2026-08-04,arXiv:2608.01001,2608.01001,,From AI Technical Debt to Agentic Technical Debt: A Systematic Mapping,https://arxiv.org/abs/2608.01001,deferred,,update queue,Taxonomy is relevant background but does not alter the monograph's developed dependency chain.
2026-08-04,arXiv:2608.01672,2608.01672,,Learning What to Remember: Test-Time Training via Context Distillation,https://arxiv.org/abs/2608.01672,deferred,,update queue,Memory-training method lies outside the selected operational memory claims.
2026-08-05,arXiv:2608.01913,2608.01913,,Diagnosing Search Behavior and Failure Modes in Long-Horizon Search Agents,https://arxiv.org/abs/2608.01913,deferred,,update queue,Search-agent evidence is adjacent to retrieval stopping but not repository-code specific.
2026-08-05,arXiv:2608.00267,2608.00267,,LoopsBench: From Harness Engineering to Loop Engineering in Benchmarking Coding Agent,https://arxiv.org/abs/2608.00267,deferred,,update queue,Substantial benchmark that merits a later benchmark-card and chapter-level treatment rather than a late citation.
2026-08-05,arXiv:2607.28802,2607.28802,,Model or Harness? An Interaction-Centric Taxonomy for Localizing Agent Failures,https://arxiv.org/abs/2607.28802,admitted,directional,Chapter 10; derive-taxonomy-from-own-traces,Interaction-centered taxonomy is directional; Cohen's kappa supports label reproducibility only.
2026-08-05,arXiv:2608.01347,2608.01347,,Prompt-Induced Waste in Large Reasoning Models: A Preregistered Two-Harness Benchmark of Coding Agents,https://arxiv.org/abs/2608.01347,deferred,,update queue,Important cost study is reserved for a later edition because it would require a broader cost-section revision.
2026-08-05,arXiv:2608.02499,2608.02499,,SWE-Touch: Benchmarking Coding Agents When Users Touch the Code,https://arxiv.org/abs/2608.02499,deferred,,update queue,Shared-workspace benchmark is important but needs dedicated treatment of concurrent user edits.
2026-08-06,arXiv:2608.04804,2608.04804,,Scrouting: Cost-Aware Routing of Coding Agents by Scouting the Repository First,https://arxiv.org/abs/2608.04804,admitted,strong,Chapter 18; route-work-to-the-cheapest-sufficient-model,"Benchmark-bound cost result admitted together with its no-router ablation, which locates the gain in the handoff."
2026-08-06,doi:10.1016/j.infsof.2018.09.006,,10.1016/j.infsof.2018.09.006,Guidelines for including grey literature and conducting multivocal literature reviews in software engineering,https://doi.org/10.1016/j.infsof.2018.09.006,admitted,directional,methods,Defines multivocal review design and source-independence criteria for software engineering.
2026-08-06,doi:10.1109/tse.2022.3165938,,10.1109/tse.2022.3165938,How Should Software Engineering Secondary Studies Include Grey Material?,https://doi.org/10.1109/TSE.2022.3165938,admitted,directional,methods,Qualifies what mutable practitioner material can support in a secondary study.
2026-08-06,doi:10.1109/tse.2022.3174092,,10.1109/tse.2022.3174092,SEGRESS: Software Engineering Guidelines for REporting Secondary Studies,https://doi.org/10.1109/TSE.2022.3174092,admitted,directional,methods,Supplies reporting vocabulary and flow expectations for software-engineering secondary studies.
2026-08-06,doi:10.1145/3241743,,10.1145/3241743,The ABC of Software Engineering Research,https://doi.org/10.1145/3241743,admitted,directional,methods,"Frames tradeoffs among actors, behavior measurement, and realistic context."
2026-08-06,doi:10.1109/tse.2022.3176725,,10.1109/tse.2022.3176725,Construct Validity in Software Engineering,https://doi.org/10.1109/TSE.2022.3176725,admitted,directional,methods; Chapter 3,Supports explicit separation between operational indicators and conceptual claims.
2026-08-06,doi:10.1109/tse.2023.3348172,,10.1109/tse.2023.3348172,Code Review Automation: Strengths and Weaknesses of the State of the Art,https://doi.org/10.1109/TSE.2023.3348172,admitted,directional,Chapter 15,"Manual analysis of 2,291 predictions supplies software-engineering evidence on inspectable review-tool capability boundaries."
2026-08-06,doi:10.1145/3772370,,10.1145/3772370,Facilitating Trust in AI-assisted Software Tools,https://doi.org/10.1145/3772370,admitted,directional,Chapter 15,Practitioner interviews and a survey supply software-engineering evidence on trust factors in AI-assisted tools.
2026-08-06,doi:10.1145/3607179,,10.1145/3607179,A Systematic Review of Automated Query Reformulations in Source Code Search,https://doi.org/10.1145/3607179,admitted,directional,Chapter 11,Separates query formulation from later retrieval stages and documents code-search vocabulary mismatch.
2026-08-06,doi:10.1145/3656341,,10.1145/3656341,A Survey of Source Code Search: A 3-Dimensional Perspective,https://doi.org/10.1145/3656341,admitted,directional,Chapter 11,"Separates query, code, and matching components in source-code search."
