thread_id,source_order,heading,arxiv,bibcode
2,3,"Gao, Schulman & Hilton (2022) - Scaling Laws for Reward Model Overoptimization",2210.10760,2022arXiv221010760G
2,4,Denison et al. (2024) - Sycophancy to Subterfuge: Investigating Reward-Tampering in Large Language Models,2406.10162,2024arXiv240610162D
2,5,Bondarenko et al. (2025) - Demonstrating specification gaming in reasoning models,2502.13295,2025arXiv250213295B
2,6,Baker et al. (2025) - Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,2503.11926,2025arXiv250311926B
2,7,Wang et al. (2025) - Is It Thinking or Cheating? Detecting Implicit Reward Hacking by Measuring Reasoning Effort,2510.01367,2025arXiv251001367W
2,8,Cemri et al. (2025) - Why Do Multi-Agent LLM Systems Fail?,2503.13657,2025arXiv250313657C
2,9,Zhang et al. (2025) - Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,2505.00212,2025arXiv250500212Z
2,10,Deshpande et al. (2025) - TRAIL: Trace Reasoning and Agentic Issue Localization,2505.08638,2025arXiv250508638D
2,11,Zhu et al. (2025) - Where LLM Agents Fail and How They can Learn From Failures,2509.25370,2025arXiv250925370Z
2,12,Barke et al. (2026) - AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,2602.02475,2026arXiv260202475B
2,13,Majgaonkar et al. (2025) - Understanding Code Agent Behaviour: An Empirical Study of Success and Failure Trajectories,2511.00197,2025arXiv251100197M
2,14,"Chen, Ma & Jiang (2025) - Unveiling Pitfalls: Understanding Why AI-driven Code Agents Fail at GitHub Issue Resolution",2503.12374,2025arXiv250312374C
2,15,"Lu, Li & Huo (2025) - Exploring Autonomous Agents: A Closer Look at Why They Fail When Completing Tasks",2508.13143,2025arXiv250813143L
2,16,Jia et al. (2026) - MAS-FIRE: Fault Injection and Reliability Evaluation for LLM-Based Multi-Agent Systems,2602.19843,2026arXiv260219843J
2,17,Kim et al. (2026) - Why Do AI Agents Systematically Fail at Cloud Root Cause Analysis?,2602.09937,2026arXiv260209937K
3,1,Dror et al. (2017) - Replicability Analysis for Natural Language Processing: Testing Significance with Multiple Datasets,1709.09500,2017arXiv170909500D
3,2,Card et al. (2020) - With Little Power Comes Great Responsibility,2010.06595,2020arXiv201006595C
3,3,Bouthillier et al. (2021) - Accounting for Variance in Machine Learning Benchmarks,2103.03098,2021arXiv210303098B
3,4,Chen et al. (2021) - Evaluating Large Language Models Trained on Code,2107.03374,2021arXiv210703374C
3,5,Sclar et al. (2023) - Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting,2310.11324,2023arXiv231011324S
3,6,Alzahrani et al. (2024) - When Benchmarks are Targets: Revealing the Sensitivity of Large Language Model Leaderboards,2402.01781,2024arXiv240201781A
3,7,Polo et al. (2024) - tinyBenchmarks: evaluating LLMs with fewer examples,2402.14992,2024arXiv240214992P
3,8,Chiang et al. (2024) - Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,2403.04132,2024arXiv240304132C
3,9,Ailem et al. (2024) - Examining the robustness of LLM evaluation to the distributional assumptions of benchmarks,2404.16966,2024arXiv240416966A
3,10,Biderman et al. (2024) - Lessons from the Trenches on Reproducible Evaluation of Language Models,2405.14782,2024arXiv240514782B
3,11,Madaan et al. (2024) - Quantifying Variance in Evaluation Benchmarks,2406.10229,2024arXiv240610229M
3,12,"Song et al. (2024) - The Good, The Bad, and The Greedy: Evaluation of LLMs Should Not Ignore Non-Determinism",2407.10457,2024arXiv240710457S
3,13,Aleithan et al. (2024) - SWE-Bench+: Enhanced Coding Benchmark for LLMs,2410.06992,2024arXiv241006992A
3,14,Miller (2024) - Adding Error Bars to Evals: A Statistical Approach to Language Model Evaluations,2411.00640,2024arXiv241100640M
3,15,Singh et al. (2025) - The Leaderboard Illusion,2504.20879,2025arXiv250420879S
3,16,Zhu et al. (2025) - Establishing Best Practices for Building Rigorous Agentic Benchmarks,2507.02825,2025arXiv250702825Z
3,17,Bjarnason et al. (2026) - On Randomness in Agentic Evals,2602.07150,2026arXiv260207150H
4,1,Bainbridge (1983) - Ironies of automation,,1983Autom..19..775B
4,2,"Zhang, Liao & Bellamy (2020) - Effect of Confidence and Explanation on Accuracy and Trust Calibration in AI-Assisted Decision Making",2001.02114,2020arXiv200102114Z
4,3,"Buçinca, Malaya & Gajos (2021) - To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making",2102.09692,2021arXiv210209692B
4,4,Cavalcante Siebert et al. (2021) - Meaningful human control: actionable properties for AI system development,2112.01298,2021arXiv211201298C
4,5,Sarkar et al. (2022) - What is it like to program with artificial intelligence?,2208.06213,2022arXiv220806213S
4,6,"Barke, James & Polikarpova (2022) - Grounded Copilot: How Programmers Interact with Code-Generating Models",2206.15000,2022arXiv220615000B
4,7,Sandoval et al. (2022) - Lost at C: A User Study on the Security Implications of Large Language Model Code Assistants,2208.09727,2022arXiv220809727S
4,8,"Perry, Srivastava, Kumar & Boneh (2022) - Do Users Write More Insecure Code with AI Assistants?",2211.03622,2022arXiv221103622P
4,9,Fok & Weld (2023) - In Search of Verifiability: Explanations Rarely Enable Complementary Performance in AI-Advised Decision Making,2305.07722,2023arXiv230507722F
4,10,Sterz et al. (2024) - On the Quest for Effectiveness in Human Oversight: Interdisciplinary Perspectives,2404.04059,2024arXiv240404059S
4,11,Chan et al. (2024) - Visibility into AI Agents,2401.13138,2024arXiv240113138C
4,12,"Mitchell, Ghosh, Luccioni & Pistilli (2025) - Fully Autonomous AI Agents Should Not be Developed",2502.02649,2025arXiv250202649M
4,13,"Alami, Vadmand Jensen & Ernst (2025) - Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs",2502.15963,2025arXiv250215963A
4,14,Manheim & Homewood (2025) - Limits of Safe AI Deployment: Differentiating Oversight and Control,2507.03525,2025arXiv250703525M
4,15,Kale et al. (2025) - Reliable Weak-to-Strong Monitoring of LLM Agents,2508.19461,2025arXiv250819461K
4,16,"Fawzy, Tahir & Blincoe (2025) - Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook - a Grey Literature Review",2510.00328,2025arXiv251000328F
4,17,"Gaube, Langer, Miller, Baum, Dachselt et al. (2026) - Keeping an Eye on AI: A Framework for Effective Human Oversight of AI Systems",2605.16278,2026arXiv260516278G
5,1,Liu et al. (2023) - Lost in the Middle: How Language Models Use Long Contexts,2307.03172,2023arXiv230703172L
5,2,Hsieh et al. (2024) - RULER: What's the Real Context Size of Your Long-Context Language Models?,2404.06654,2024arXiv240406654H
5,3,Modarressi et al. (2025) - NoLiMa: Long-Context Evaluation Beyond Literal Matching,2502.05167,2025arXiv250205167M
5,4,Leng et al. (2024) - Long Context RAG Performance of Large Language Models,2411.03538,2024arXiv241103538L
5,5,Zhang et al. (2023) - RepoCoder: Repository-Level Code Completion Through Iterative Retrieval and Generation,2303.12570,2023arXiv230312570Z
5,6,Liu et al. (2023) - RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,2306.03091,2023arXiv230603091L
5,7,Wang et al. (2024) - CodeRAG-Bench: Can Retrieval Augment Code Generation?,2406.14497,2024arXiv240614497Z
5,8,Wu et al. (2024) - Repoformer: Selective Retrieval for Repository-Level Code Completion,2403.10059,2024arXiv240310059W
5,9,Weng et al. (2026) - When Retrieval Hurts Code Completion: A Diagnostic Study of Stale Repository Context,2605.14478,2026arXiv260514478W
5,10,Liu et al. (2024) - GraphCoder: Enhancing Repository-Level Code Completion via Code Context Graph-based Retrieval,2406.07003,2024arXiv240607003L
5,11,Liu et al. (2024) - CodexGraph: Bridging Large Language Models and Code Repositories via Code Graph Databases,2408.03910,2024arXiv240803910L
5,12,Ma et al. (2024) - Alibaba LingmaAgent: Improving Automated Issue Resolution via Comprehensive Repository Exploration,2406.01422,2024arXiv240601422M
5,13,Pan et al. (2025) - Prometheus: Towards Long-Horizon Codebase Navigation for Repository-Level Problem Solving,2507.19942,2025arXiv250719942P
5,14,Kang et al. (2025) - ACON: Optimizing Context Compression for Long-horizon LLM Agents,2510.00615,2025arXiv251000615K
5,15,Liu et al. (2025) - Context as a Tool: Context Management for Long-Horizon SWE-Agents,2512.22087,2025arXiv251222087L
5,16,Yang et al. (2025) - A Deep Dive into Retrieval-Augmented Generation for Code Completion: Experience on WeChat,2507.18515,2025arXiv250718515Y
5,17,Tao et al. (2025) - Retrieval-Augmented Code Generation: A Survey with Focus on Repository-Level Approaches,2510.04905,2025arXiv251004905T
6,1,Burckhardt et al. (2021) - Serverless Workflows with Durable Functions and Netherite,2103.00033,2021arXiv210300033B
6,2,Tardieu et al. (2021) - Reliable Actors with Retry Orchestration,2111.11562,2021arXiv211111562T
6,3,Kraft et al. (2022) - Apiary: A DBMS-Integrated Transactional Function-as-a-Service Framework,2208.13068,2022arXiv220813068K
6,4,Psarakis et al. (2023) - Styx: Transactional Stateful Functions on Streaming Dataflows,2312.06893,2023arXiv231206893P
6,5,"Laigner et al. (2025) - Transactional Cloud Applications: Status Quo, Challenges, and Opportunities",2504.17106,2025arXiv250417106L
6,6,Carbone et al. (2015) - Lightweight Asynchronous Snapshots for Distributed Dataflows,1506.08603,2015arXiv150608603C
6,7,Fragkoulis et al. (2020) - A Survey on the Evolution of Stream Processing Systems,2008.00842,2020arXiv200800842F
6,8,"Zhang, Soto & Markl (2022) - A Survey on Transactional Stream Processing",2208.09827,2022arXiv220809827Z
6,9,Vogel et al. (2024) - A Comprehensive Benchmarking Analysis of Fault Recovery in Stream Processing Frameworks,2404.06203,2024arXiv240406203V
6,10,"Laigner et al. (2021) - Data Management in Microservices: State of the Practice, Challenges, and Research Directions",2103.00170,2021arXiv210300170L
6,11,Laigner et al. (2024) - An Empirical Study on Challenges of Event Management in Microservice Architectures,2408.00440,2024arXiv240800440L
6,12,Nadeem & Malik (2022) - A Case for Microservices Orchestration Using Workflow Engines,2204.07210,2022arXiv220407210N
6,13,Mulone et al. (2024) - A Fault Tolerance Mechanism for Hybrid Scientific Workflows,2407.05337,2024arXiv240705337M
6,14,Wu et al. (2026) - Crab: A Semantics-Aware Checkpoint/Restore Runtime for Agent Sandboxes,2604.28138,2026arXiv260428138W
6,15,Yang et al. (2026) - DART: Semantic Recoverability for Structured Tool Agents,2605.23311,2026arXiv260523311Y
6,16,Quinto et al. (2026) - Workflow as Knowledge: Semantic Persistence for LLM-Mediated Workflows,2607.08740,2026arXiv260708740Q
6,17,Jeong & Shin (2026) - A Self-Healing Framework for Reliable LLM-Based Autonomous Agents,2605.06737,2026arXiv260506737J
7,1,Vishnyakova (2026) - Context Engineering: From Prompts to Corporate Multi-Agent Architecture,2603.09619,2026arXiv260309619V
7,2,Chen et al. (2025) - LocAgent: Graph-Guided LLM Agents for Code Localization,2503.09089,2025arXiv250309089C
7,3,Yang et al. (2025) - KGCompass: Enhancing Repository-Level Software Repair via Repository-Aware Knowledge Graphs,2503.21710,2025arXiv250321710Y
7,4,Johnston & Miller (1990) - Artificial Intelligence Scheduling for NASA's Hubble Space Telescope,,1990aisi.conf....5J
7,5,"Lampoudi, Saunders & Eastman (2015) - An Integer Linear Programming Solution to the Telescope Network Scheduling Problem",1503.07170,2015arXiv150307170L
7,6,Bellm et al. (2019) - The Zwicky Transient Facility: Surveys and Scheduler,1905.02209,2019PASP..131f8003B
7,7,Naghib et al. (2019) - A Framework for Telescope Schedulers: With Applications to the Large Synoptic Survey Telescope,1810.04815,2019AJ....157..151N
7,8,Parazin et al. (2022) - Foraging with MUSHROOMS: A Mixed-integer Linear Programming Scheduler for Multimessenger Target of Opportunity Searches with the Zwicky Transient Facility,2203.00013,2022ApJ...935...87P
7,9,"Handley, Petigura & Mišić (2024) - Solving the Traveling Telescope Problem with Mixed-integer Linear Programming",2310.18497,2024AJ....167...33H
7,10,Claudet et al. (2021) - Delta-MILP: Deep Space Network Scheduling via Mixed-Integer Linear Programming,2111.11628,2021arXiv211111628C
7,11,Singer et al. (2025) - Optimal Follow-up of Gravitational-wave Events with the UltraViolet EXplorer (UVEX),2502.17560,2025PASP..137g4501S
7,12,Gómez de Castro & Yáñez (2003) - Optimization of Telescope Scheduling: Algorithmic Research and Scientific Policy,,2003A&A...403..357G
7,13,"Schröder, van der Feltz, Panichella & Aniche (2021) - Search-Based Software Re-Modularization: A Case Study at Adyen",2102.00701,2021arXiv210200701S
7,14,"Chen, Li, Li & Deb (2020) - Search-Based Software Engineering for Self-Adaptive Systems: Survey, Disappointments, Suggestions and Opportunities",2001.08236,2020arXiv200108236C
7,15,"Cayci, Eryilmaz & Srikant (2020) - Budget-Constrained Bandits over General Cost and Reward Distributions",2003.00365,2020arXiv200300365C
7,16,"Tao, Zhen et al. (2026) - MemConflict: Evaluating Long-Term Memory Systems Under Memory Conflicts",,2026arXiv260520926T
