title,doi,year,venue,type,query_ids,already_in_manuscript,landing_page
Software Engineering by and for Humans in an AI Era,10.1145/3715111,2025,ACM Transactions on Software Engineering and Methodology,article,human-review|adoption-governance,false,https://doi.org/10.1145/3715111
The Impact of Generative AI on Creativity in Software Development: A Research Agenda,10.1145/3708523,2024,ACM Transactions on Software Engineering and Methodology,article,human-review|adoption-governance,false,https://doi.org/10.1145/3708523
Evaluating classifiers in SE research: the ECSER pipeline and two replication studies,10.1007/s10664-022-10243-1,2022,Empirical Software Engineering,article,secondary-study-method|grader-validity,false,https://doi.org/10.1007/s10664-022-10243-1
Large Language Models for Constructing and Optimizing Machine Learning Workflows: A Survey,10.1145/3773084,2025,ACM Transactions on Software Engineering and Methodology,article,human-review|adoption-governance,false,https://doi.org/10.1145/3773084
A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,10.1145/3788879,2026,ACM Transactions on Software Engineering and Methodology,article,human-review|adoption-governance,false,https://doi.org/10.1145/3788879
Advancing research software engineering with AI: a research framework,10.1007/s10515-026-00621-0,2026,Automated Software Engineering,article,human-review|adoption-governance,false,https://doi.org/10.1007/s10515-026-00621-0
The Impact of LLM-Assistants on Software Developer Productivity: A Systematic Review and Mapping Study,10.1145/3809494,2026,ACM Transactions on Software Engineering and Methodology,review,human-review|adoption-governance,false,https://doi.org/10.1145/3809494
Foundation Models for Software Engineering of Cyber-Physical Systems: the Road Ahead,10.1145/3830403,2026,ACM Transactions on Software Engineering and Methodology,article,evaluation-validity|adoption-governance,false,https://doi.org/10.1145/3830403
A Roadmap for Tamed Interactions with Large Language Models,10.1145/3832776,2026,ACM Transactions on Software Engineering and Methodology,article,human-review|adoption-governance,false,https://doi.org/10.1145/3832776
The ABC of Software Engineering Research,10.1145/3241743,2018,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3241743
Navigating the Complexity of Generative AI Adoption in Software Engineering,10.1145/3652154,2024,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3652154
Neural Transfer Learning for Repairing Security Vulnerabilities in C Code,10.1109/tse.2022.3147265,2022,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2022.3147265
In-IDE Code Generation from Natural Language: Promise and Challenges,10.1145/3487569,2022,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3487569
Finding Critical Scenarios for Automated Driving Systems: A Systematic Mapping Study,10.1109/tse.2022.3170122,2022,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2022.3170122
Perceived diversity in software engineering: a systematic literature review,10.1007/s10664-021-09992-2,2021,Empirical Software Engineering,review,grader-validity,false,https://doi.org/10.1007/s10664-021-09992-2
Future of software development with generative AI,10.1007/s10515-024-00426-z,2024,Automated Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10515-024-00426-z
Predicting Defective Lines Using a Model-Agnostic Technique,10.1109/tse.2020.3023177,2020,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2020.3023177
Towards understanding and detecting fake reviews in app stores,10.1007/s10664-019-09706-9,2019,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-019-09706-9
Decomposition of Monolith Applications Into Microservices Architectures: A Systematic Review,10.1109/tse.2023.3287297,2023,IEEE Transactions on Software Engineering,review,secondary-study-method,false,https://doi.org/10.1109/tse.2023.3287297
A Survey of Learning-based Automated Program Repair,10.1145/3631974,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3631974
Software engineering in start-up companies: An analysis of 88 experience reports,10.1007/s10664-018-9620-y,2018,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-018-9620-y
Revisiting Binary Code Similarity Analysis Using Interpretable Feature Engineering and Lessons Learned,10.1109/tse.2022.3187689,2022,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2022.3187689
Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,10.1145/3708522,2024,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3708522
AI lifecycle models need to be revised,10.1007/s10664-021-09993-1,2021,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-021-09993-1
Security Misconfigurations in Open Source Kubernetes Manifests: An Empirical Study,10.1145/3579639,2023,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3579639
Challenges and Common Solutions in Smart Contract Development,10.1109/tse.2021.3116808,2021,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2021.3116808
Analysing app reviews for software engineering: a systematic literature review,10.1007/s10664-021-10065-7,2022,Empirical Software Engineering,review,grader-validity,false,https://doi.org/10.1007/s10664-021-10065-7
App Store Effects on Software Engineering Practices,10.1109/tse.2019.2891715,2019,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2019.2891715
Automatic Generation of Acceptance Test Cases From Use Case Specifications: An NLP-Based Approach,10.1109/tse.2020.2998503,2020,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2020.2998503
NLP-Based Automated Compliance Checking of Data Processing Agreements Against GDPR,10.1109/tse.2023.3288901,2023,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2023.3288901
ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,10.1109/tse.2024.3382365,2024,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2024.3382365
How bugs are born: a model to identify how bugs are introduced in software components,10.1007/s10664-019-09781-y,2020,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-019-09781-y
What kind of questions do developers ask on Stack Overflow? A comparison of automated approaches to classify posts into question categories,10.1007/s10664-019-09758-x,2019,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-019-09758-x
Siamese: scalable and incremental code clone search via multiple code representations,10.1007/s10664-019-09697-7,2019,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-019-09697-7
Scalable and Accurate Test Case Prioritization in Continuous Integration Contexts,10.1109/tse.2022.3184842,2022,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2022.3184842
Characterizing industry-academia collaborations in software engineering: evidence from 101 projects,10.1007/s10664-019-09711-y,2019,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-019-09711-y
Machine learning-based test selection for simulation-based testing of self-driving cars software,10.1007/s10664-023-10286-y,2023,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-023-10286-y
Classifying code comments in Java software systems,10.1007/s10664-019-09694-w,2019,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-019-09694-w
Mock objects for testing java systems,10.1007/s10664-018-9663-0,2018,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-018-9663-0
Industry practices and challenges for the evolvability assurance of microservices,10.1007/s10664-021-09999-9,2021,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-021-09999-9
Asteria-Pro: Enhancing Deep Learning-based Binary Code Similarity Detection by Incorporating Domain Knowledge,10.1145/3604611,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3604611
Improving change prediction models with code smell-related information,10.1007/s10664-019-09739-0,2019,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-019-09739-0
Self-admitted technical debt practices: a comparison between industry and open-source,10.1007/s10664-021-10031-3,2021,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-021-10031-3
Automated Identification and Qualitative Characterization of Safety Concerns Reported in UAV Software Platforms,10.1145/3564821,2022,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3564821
How Scrum adds value to achieving software quality?,10.1007/s10664-022-10208-4,2022,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10208-4
A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,10.1145/3770084,2025,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3770084
Automated Identification of Toxic Code Reviews Using ToxiCR,10.1145/3583562,2023,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3583562
Automated demarcation of requirements in textual specifications: a machine learning-based approach,10.1007/s10664-020-09864-1,2020,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-020-09864-1
Automatic Commit Message Generation: A Critical Review and Directions for Future Work,10.1109/tse.2024.3364675,2024,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2024.3364675
Vision Transformer Inspired Automated Vulnerability Repair,10.1145/3632746,2023,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3632746
Evaluating Automatic Program Repair Capabilities to Repair API Misuses,10.1109/tse.2021.3067156,2021,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2021.3067156
Where2Change: Change Request Localization for App Reviews,10.1109/tse.2019.2956941,2019,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2019.2956941
Predicting Patch Correctness Based on the Similarity of Failing Test Cases,10.1145/3511096,2022,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3511096
The Best of Both Worlds: Combining Learned Embeddings with Engineered Features for Accurate Prediction of Correct Patches,10.1145/3576039,2022,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3576039
"Microservice Security Metrics for Secure Communication, Identity Management, and Observability",10.1145/3532183,2022,ACM Transactions on Software Engineering and Methodology,article,secondary-study-method,false,https://doi.org/10.1145/3532183
Software variability in service robotics,10.1007/s10664-022-10231-5,2022,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10231-5
Agile software development one year into the COVID-19 pandemic,10.1007/s10664-022-10176-9,2022,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10176-9
How do Developers <i>Really</i> Feel About Bug Fixing? Directions for Automatic Program Repair,10.1109/tse.2022.3194188,2022,IEEE Transactions on Software Engineering,article,human-review,false,https://doi.org/10.1109/tse.2022.3194188
The Case for Adaptive Security Interventions,10.1145/3471930,2021,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3471930
Exploiting Natural Language Structures in Software Informal Documentation,10.1109/tse.2019.2930519,2019,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2019.2930519
A comprehensive overview of software product management challenges,10.1007/s10664-022-10134-5,2022,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10134-5
How Should Software Engineering Secondary Studies Include Grey Material?,10.1109/tse.2022.3165938,2022,IEEE Transactions on Software Engineering,article,secondary-study-method,false,https://doi.org/10.1109/tse.2022.3165938
In Search of Socio-Technical Congruence: A Large-Scale Longitudinal Study,10.1109/tse.2021.3082074,2021,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2021.3082074
How Important Are Good Method Names in Neural Code Generation? A Model Robustness Perspective,10.1145/3630010,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3630010
What You See is What it Means! Semantic Representation Learning of Code based on Visualization and Transfer Learning,10.1145/3485135,2021,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3485135
Context- and Fairness-Aware In-Process Crowdworker Recommendation,10.1145/3487571,2022,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3487571
Studying the explanations for the automated prediction of bug and non-bug issues using LIME and SHAP,10.1007/s10664-024-10469-1,2024,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-024-10469-1
Use and Misuse of the Term “Experiment” in Mining Software Repositories Research,10.1109/tse.2021.3113558,2021,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2021.3113558
"DexBERT: Effective, Task-Agnostic and Fine-Grained Representation Learning of Android Bytecode",10.1109/tse.2023.3310874,2023,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2023.3310874
Non-Autoregressive Line-Level Code Completion,10.1145/3649594,2024,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3649594
On the analysis of non-coding roles in open source development,10.1007/s10664-021-10061-x,2021,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-021-10061-x
Safety of Perception Systems for Automated Driving: A Case Study on Apollo,10.1145/3631969,2023,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3631969
Values and Value Conflicts in the Context of OSINT Technologies for Cybersecurity Incident Response: A Value Sensitive Design Perspective,10.1007/s10606-022-09453-4,2023,Computer Supported Cooperative Work (CSCW),article,human-review,false,https://doi.org/10.1007/s10606-022-09453-4
Applying Human Values Theory to Software Engineering Practice: Lessons and Implications,10.1109/tse.2022.3170087,2022,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2022.3170087
Snippet Comment Generation Based on Code Context Expansion,10.1145/3611664,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3611664
Revisiting the Identification of the Co-evolution of Production and Test Code,10.1145/3607183,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3607183
"JavaScript Dead Code Identification, Elimination, and Empirical Assessment",10.1109/tse.2023.3267848,2023,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2023.3267848
Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs,10.1145/3818607,2026,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3818607
The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,10.1007/s10664-020-09891-y,2021,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-020-09891-y
Oracles for Testing Software Timeliness with Uncertainty,10.1145/3280987,2018,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3280987
TCTracer: Establishing test-to-code traceability links using dynamic and static techniques,10.1007/s10664-021-10079-1,2022,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-021-10079-1
On the adequacy of static analysis warnings with respect to code smell prediction,10.1007/s10664-022-10126-5,2022,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-022-10126-5
Deep Is Better? An Empirical Comparison of Information Retrieval and Deep Learning Approaches to Code Summarization,10.1145/3631975,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3631975
Inverted Hierarchies on the Shop Floor: The Organisational Layer of Workarounds for Collaboration in the Metal Industry,10.1007/s10606-021-09415-2,2021,Computer Supported Cooperative Work (CSCW),article,topology,false,https://doi.org/10.1007/s10606-021-09415-2
Software development metrics: to VR or not to VR,10.1007/s10664-023-10435-3,2024,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-023-10435-3
XCoS: Explainable Code Search Based on Query Scoping and Knowledge Graph,10.1145/3593800,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3593800
A Survey of Source Code Search: A 3-Dimensional Perspective,10.1145/3656341,2024,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3656341
Fold2Vec: Towards a Statement-Based Representation of Code for Code Comprehension,10.1145/3514232,2022,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3514232
Semantic-Enriched Code Knowledge Graph to Reveal Unknowns in Smart Contract Code Reuse,10.1145/3597206,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3597206
Cultivating Data Practices Across Boundaries: How Organizations Become Data-driven,10.1007/s10606-024-09489-8,2024,Computer Supported Cooperative Work (CSCW),article,adoption-governance,false,https://doi.org/10.1007/s10606-024-09489-8
Decision Support Model for Selecting the Optimal Blockchain Oracle Platform: An Evaluation of Key Factors,10.1145/3697011,2024,ACM Transactions on Software Engineering and Methodology,article,secondary-study-method,false,https://doi.org/10.1145/3697011
Extraction of Phrase-based Concepts in Vulnerability Descriptions through Unsupervised Labeling,10.1145/3579638,2023,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3579638
A Systematic Review of Automated Query Reformulations in Source Code Search,10.1145/3607179,2023,ACM Transactions on Software Engineering and Methodology,review,retrieval-context,false,https://doi.org/10.1145/3607179
Effectively Incorporating Expert Knowledge in Automated Software Remodularisation,10.1109/tse.2017.2786222,2018,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2017.2786222
What is an app store? The software engineering perspective,10.1007/s10664-023-10362-3,2024,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-023-10362-3
Investigating the readability of test code,10.1007/s10664-023-10390-z,2024,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-023-10390-z
SAFe transformation in a large financial corporation,10.1007/s10664-023-10420-w,2023,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-023-10420-w
"Practical, Automated Scenario-Based Mobile App Testing",10.1109/tse.2024.3414672,2024,IEEE Transactions on Software Engineering,article,grader-validity,false,https://doi.org/10.1109/tse.2024.3414672
Deja Vu: semantics-aware recording and replay of high-speed eye tracking and interaction data to support cognitive studies of software engineering tasks—methodology and analyses,10.1007/s10664-022-10209-3,2022,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10209-3
LLM for Mobile: An Initial Roadmap,10.1145/3708528,2024,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3708528
"The Good, the Bad, and the Missing: Neural Code Generation for Machine Learning Tasks",10.1145/3630009,2023,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3630009
Smells in system user interactive tests,10.1007/s10664-022-10251-1,2022,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-022-10251-1
Simplifying software compliance: AI technologies in drafting technical documentation for the AI Act,10.1007/s10664-025-10645-x,2025,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-025-10645-x
Taxonomy of inline code comment smells,10.1007/s10664-023-10425-5,2024,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-023-10425-5
"Automated, Cost-effective, and Update-driven App Testing",10.1145/3502297,2022,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3502297
Investigating developers’ perception on software testability and its effects,10.1007/s10664-023-10373-0,2023,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-023-10373-0
Comparison of static analysis architecture recovery tools for microservice applications,10.1007/s10664-025-10686-2,2025,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-025-10686-2
Fusing Code Searchers,10.1109/tse.2024.3403042,2024,IEEE Transactions on Software Engineering,article,retrieval-context,false,https://doi.org/10.1109/tse.2024.3403042
A Systematic Literature Review of Multi-Label Learning in Software Engineering,10.1145/3708532,2024,ACM Transactions on Software Engineering and Methodology,review,grader-validity,false,https://doi.org/10.1145/3708532
Requirements-Driven Automated Software Testing: A Systematic Review,10.1145/3767739,2025,ACM Transactions on Software Engineering and Methodology,review,grader-validity,false,https://doi.org/10.1145/3767739
LaF: Labeling-free Model Selection for Automated Deep Neural Network Reusing,10.1145/3611666,2023,ACM Transactions on Software Engineering and Methodology,article,grader-validity,false,https://doi.org/10.1145/3611666
An interview study about the use of logs in embedded software engineering,10.1007/s10664-022-10258-8,2023,Empirical Software Engineering,article,grader-validity,false,https://doi.org/10.1007/s10664-022-10258-8
Approaching code search for python as a translation retrieval problem with dual encoders,10.1007/s10664-024-10580-3,2024,Empirical Software Engineering,article,retrieval-context,false,https://doi.org/10.1007/s10664-024-10580-3
Evaluating the quality of GenAI applications in software engineering: a multi-case study,10.1007/s10664-025-10759-2,2025,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-025-10759-2
Envisioning responsible quantum software engineering and quantum artificial intelligence,10.1007/s10515-025-00541-5,2025,Automated Software Engineering,article,adoption-governance,false,https://doi.org/10.1007/s10515-025-00541-5
Dimensions of Human-Machine Combination: Prompting the Development of Deployable Intelligent Decision Systems for Situated Clinical Contexts,10.1007/s10606-025-09514-4,2025,Computer Supported Cooperative Work (CSCW),article,topology,false,https://doi.org/10.1007/s10606-025-09514-4
Process smells in practice: an evaluative case study,10.1007/s10664-025-10664-8,2025,Empirical Software Engineering,article,secondary-study-method,false,https://doi.org/10.1007/s10664-025-10664-8
Facilitating Trust in AI-assisted Software Tools,10.1145/3772370,2025,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3772370
An evaluation study of large language models for addressing code quality issues,10.1007/s10664-026-10858-8,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10858-8
Why android app testing falls short: empirical insights from open-source projects and a practitioner survey,10.1007/s10664-025-10726-x,2025,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-025-10726-x
SecMLOps: A comprehensive framework for integrating security throughout the machine learning operations lifecycle,10.1007/s10664-025-10795-y,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-025-10795-y
"AI-driven digital twin-based security orchestration, automation and response for critical infrastructures",10.1007/s10515-026-00612-1,2026,Automated Software Engineering,article,human-review,false,https://doi.org/10.1007/s10515-026-00612-1
Automation and Reuse Practices in GitHub Actions Workflows: A Practitioner’s Perspective,10.1145/3806833,2026,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3806833
PatchTrack: A comprehensive analysis of ChatGPT’s influence on pull request outcomes,10.1007/s10664-026-10869-5,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10869-5
<scp>CatCoder</scp> : Repository-Level Code Generation with Relevant Code and Type Context,10.1145/3779217,2025,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,false,https://doi.org/10.1145/3779217
VLM-Fuzz: Vision language model assisted recursive depth-first search exploration for effective GUI testing of android apps,10.1007/s10664-026-10816-4,2026,Empirical Software Engineering,article,topology,false,https://doi.org/10.1007/s10664-026-10816-4
Charting Uncertain Waters: A Socio-Technical Roadmap for Sustaining Open Source Communities in the Age of GenAI,10.1145/3789210,2026,ACM Transactions on Software Engineering and Methodology,article,adoption-governance,false,https://doi.org/10.1145/3789210
Back to the Roots: Assessing Mining Techniques for Java Vulnerability-Contributing Commits,10.1145/3769105,2025,ACM Transactions on Software Engineering and Methodology,article,secondary-study-method,false,https://doi.org/10.1145/3769105
CDBench: Benchmarking the mutation testing capabilities of LLMs with code defenders,10.1007/s10664-026-10901-8,2026,Empirical Software Engineering,article,evaluation-validity,false,https://doi.org/10.1007/s10664-026-10901-8
"Past, Present, and Future of Bug Tracking in the Generative AI Era",10.1145/3806655,2026,ACM Transactions on Software Engineering and Methodology,article,human-review,false,https://doi.org/10.1145/3806655
The transformative potential of AI in software engineering: a case study on LeetCode and ChatGPT,10.1007/s10664-026-10912-5,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10912-5
"An empirical study on logging evolution on stack overflow: trends, topics, and challenges",10.1007/s10664-026-10899-z,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10899-z
Large language models in model-driven engineering: a systematic mapping study,10.1007/s10664-026-10921-4,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10921-4
Identifying Quality Indicators in Student Self-Reflections in Software Engineering,10.1007/s10664-026-10930-3,2026,Empirical Software Engineering,article,human-review,false,https://doi.org/10.1007/s10664-026-10930-3
"GenAI as an instant, readily available co-developer: redefining software design process for AI native hybrid work",10.1007/s10515-026-00648-3,2026,Automated Software Engineering,article,adoption-governance,false,https://doi.org/10.1007/s10515-026-00648-3
Evaluating foundation model integration strategies for detecting PII in java software engineering pipelines,10.1007/s10664-026-10919-y,2026,Empirical Software Engineering,article,adoption-governance,false,https://doi.org/10.1007/s10664-026-10919-y
From noisy feedback to evidence-aware issue specifications: an agent-governed retrieval-augmented generation approach,10.1007/s10515-026-00640-x,2026,Automated Software Engineering,article,adoption-governance,false,https://doi.org/10.1007/s10515-026-00640-x
An Empirical Study of the Non-Determinism of ChatGPT in Code Generation,10.1145/3697010,2024,ACM Transactions on Software Engineering and Methodology,article,retrieval-context,true,https://doi.org/10.1145/3697010
